symbol,earnings_date,eps_estimate,reported_eps,surprise
AAPL,"Jan 21, 2009, 12 AMEST",0.05,0.06,+28.27
AAPL,"Oct 21, 2008, 12 AMEDT",0.04,0.05,+13.29
AAPL,"Jul 21, 2008, 12 AMEDT",0.04,0.04,+10.39
AAPL,"Apr 23, 2008, 12 AMEDT",0.04,0.04,+8.12
AAPL,"Jan 22, 2008, 12 AMEST",0.06,0.06,+8.87
AAPL,"Oct 22, 2007, 12 AMEDT",0.03,0.04,+17.88
AAPL,"Jul 25, 2007, 12 AMEDT",0.03,0.03,+27.07
AAPL,"Apr 25, 2007, 12 AMEDT",0.02,0.03,+35.91
AAPL,"Jan 17, 2007, 12 AMEST",0.03,0.04,+45.34
AAPL,"Oct 18, 2006, 12 AMEDT",0.02,0.02,+22.52
AAPL,"Jul 19, 2006, 12 AMEDT",0.02,0.02,+22.87
AAPL,"Apr 19, 2006, 12 AMEDT",0.02,0.02,+8.25
AAPL,"Jan 18, 2006, 12 AMEST",0.02,0.02,+7.06
AAPL,"Oct 11, 2005, 12 AMEDT",0.01,0.01,+2.11
AAPL,"Jul 13, 2005, 12 AMEDT",0.01,0.01,+17.95
AAPL,"Apr 13, 2005, 12 AMEDT",0.01,0.01,+39.7
AAPL,"Jan 12, 2005, 12 AMEST",0.01,0.01,+43.84
AAPL,"Oct 13, 2004, 12 AMEDT",-,-,+47.4
AAPL,"Jul 14, 2004, 12 AMEDT",-,-,+15.15
AAPL,"Apr 14, 2004, 12 AMEDT",-,-,+46.2
AAPL,"Jan 14, 2004, 12 AMEST",-,-,+9.58
AAPL,"Oct 15, 2003, 12 AMEDT",-,-,+20.17
AAPL,"Jul 16, 2003, 12 AMEDT",-,-,+61.82
AAPL,"Apr 16, 2003, 12 AMEDT",-,-,+97.22
AAPL,"Jan 15, 2003, 12 AMEST",-,-,-47.06
AAPL,"Oct 16, 2002, 12 AMEDT",-,-,-66.67
AAPL,"Jul 16, 2002, 12 AMEDT",-,-,+3.21
AAPL,"Jan 16, 2002, 12 AMEST",-,-,+2.08
AAPL,"Apr 18, 2001, 12 AMEDT",-,-,+931.58
AAPL,"Oct 18, 2000, 12 AMEDT",0.01,0.01,-3.94
AAPL,"Jul 18, 2000, 12 AMEDT",0.01,0.01,+3.08
AAPL,"Apr 19, 2000, 12 AMEDT",0.01,0.01,+9.62
AAPL,"Jan 19, 2000, 12 AMEST",0.01,0.01,+11.21
AAPL,"Oct 13, 1999, 12 AMEDT",-,-,+12.62
ABBV,"Jul 23, 2025, 9 AMEDT",-,-,-
ABBV,"Apr 24, 2025, 8 AMEDT",-,-,-
ABBV,"Jan 31, 2025, 9 AMEST",-,-,-
ABBV,"Oct 30, 2024, 9 AMEDT",2.92,-,-
ABBV,"Jul 25, 2024, 7 AMEDT",2.57,2.65,+3.3
ABBV,"Apr 26, 2024, 7 AMEDT",2.23,2.31,+3.76
ABBV,"Feb 02, 2024, 7 AMEST",2.77,2.79,+0.84
ABBV,"Oct 27, 2023, 7 AMEDT",2.86,2.95,+3.25
ABBV,"Jul 27, 2023, 7 AMEDT",2.81,2.91,+3.69
ABBV,"Apr 27, 2023, 7 AMEDT",2.46,2.46,+0.11
ABBV,"Feb 09, 2023, 7 AMEST",3.56,3.6,+1.15
ABBV,"Oct 28, 2022, 7 AMEDT",3.57,3.66,+2.43
ABBV,"Jul 29, 2022, 7 AMEDT",3.31,3.37,+1.69
ABBV,"Apr 29, 2022, 7 AMEDT",3.14,3.24,+3.13
ABBV,"Feb 02, 2022, 7 AMEST",3.29,3.31,+0.74
ABBV,"Oct 29, 2021, 7 AMEDT",3.22,3.33,+3.32
ABBV,"Jul 30, 2021, 7 AMEDT",3.09,3.09,-
ABBV,"Apr 30, 2021, 7 AMEDT",2.83,2.95,+4.29
ABBV,"Feb 03, 2021, 7 AMEST",2.85,2.92,+2.42
ABBV,"Oct 30, 2020, 7 AMEDT",2.77,2.83,+2.35
ABBV,"Jul 31, 2020, 7 AMEDT",2.19,2.34,+6.89
ABBV,"May 01, 2020, 7 AMEDT",2.25,2.42,+7.74
ABBV,"Feb 07, 2020, 7 AMEST",2.19,2.21,+0.83
ABBV,"Nov 01, 2019, 7 AMEDT",2.3,2.33,+1.45
ABBV,"Jul 26, 2019, 7 AMEDT",2.21,2.26,+2.21
ABBV,"Apr 25, 2019, 7 AMEDT",2.05,2.14,+4.18
ABBV,"Jan 25, 2019, 7 AMEST",1.94,1.9,-1.95
ABBV,"Nov 02, 2018, 8 AMEDT",2.02,2.14,+6.18
ABBV,"Jul 27, 2018, 7 AMEDT",1.97,2,+1.36
ABBV,"Apr 26, 2018, 7 AMEDT",1.79,1.87,+4.3
ABBV,"Jan 26, 2018, 7 AMEST",1.44,1.48,+2.9
ABBV,"Oct 27, 2017, 8 AMEDT",1.38,1.41,+1.81
ABBV,"Jul 28, 2017, 7 AMEDT",1.4,1.42,+1.53
ABBV,"Apr 27, 2017, 7 AMEDT",1.26,1.28,+1.44
ABBV,"Jan 27, 2017, 7 AMEST",1.2,1.2,+0.39
ABBV,"Oct 28, 2016, 7 AMEDT",1.2,1.21,+1.05
ABBV,"Jul 29, 2016, 7 AMEDT",1.2,1.26,+4.98
ABBV,"Apr 28, 2016, 7 AMEDT",1.13,1.15,+1.51
ABBV,"Jan 29, 2016, 7 AMEST",1.12,1.13,+0.76
ABBV,"Oct 30, 2015, 6 AMEDT",1.08,1.13,+4.75
ABBV,"Jul 24, 2015, 7 AMEDT",1.06,1.08,+1.96
ABBV,"Apr 23, 2015, 7 AMEDT",0.85,0.94,+10.2
ABBV,"Jan 30, 2015, 7 AMEST",0.86,0.89,+3.94
ABBV,"Oct 31, 2014, 7 AMEDT",0.77,0.89,+15.19
ABBV,"Jul 25, 2014, 12 AMEDT",0.76,0.82,+8.18
ABBV,"Apr 25, 2014, 12 AMEDT",0.68,0.71,+4.41
ABBV,"Jan 31, 2014, 12 AMEST",0.82,0.82,-0.46
ABBV,"Oct 25, 2013, 12 AMEDT",0.78,0.82,+5.67
ABBV,"Jul 26, 2013, 12 AMEDT",0.79,0.82,+4.16
ABBV,"Apr 26, 2013, 12 AMEDT",0.67,0.68,+2.1
ABBV,"Jan 23, 2013, 12 AMEST",0.99,-,-
ABNB,"Aug 04, 2025, 4 PMEDT",-,-,-
ABNB,"May 06, 2025, 4 PMEDT",-,-,-
ABNB,"Feb 11, 2025, 4 PMEST",-,-,-
ABNB,"Oct 30, 2024, 6 AMEDT",2.15,-,-
ABNB,"Aug 06, 2024, 4 PMEDT",0.92,0.86,-6.16
ABNB,"May 08, 2024, 4 PMEDT",0.24,0.41,+68.65
ABNB,"Feb 13, 2024, 4 PMEST",0.62,0.76,+22.32
ABNB,"Nov 01, 2023, 4 PMEDT",2.1,2.43,+15.74
ABNB,"Aug 03, 2023, 4 PMEDT",0.78,0.98,+26.3
ABNB,"May 09, 2023, 4 PMEDT",0.09,0.18,+108.09
ABNB,"Feb 14, 2023, 4 PMEST",0.25,0.48,+91.04
ABNB,"Nov 01, 2022, 4 PMEDT",1.47,1.79,+21.83
ABNB,"Aug 02, 2022, 4 PMEDT",0.43,0.56,+31.2
ABNB,"May 03, 2022, 4 PMEDT",-0.29,-0.03,+89.72
ABNB,"Feb 15, 2022, 4 PMEST",0.03,0.08,+139.81
ABNB,"Nov 04, 2021, 4 PMEDT",0.75,1.22,+62.02
ABNB,"Aug 12, 2021, 4 PMEDT",-0.47,-0.11,+76.82
ABNB,"May 13, 2021, 4 PMEDT",-1.17,-1.12,+4.61
ABNB,"Feb 25, 2021, 4 PMEST",-9.16,-10.84,-18.36
ABNB,"Nov 16, 2020, 5 PMEST",-,-,-
ABT,"Oct 14, 2025, 8 AMEDT",-,-,-
ABT,"Jul 16, 2025, 8 AMEDT",-,-,-
ABT,"Apr 15, 2025, 8 AMEDT",-,-,-
ABT,"Jan 22, 2025, 9 AMEST",1.34,-,-
ABT,"Oct 16, 2024, 7 AMEDT",1.2,1.21,+0.67
ABT,"Jul 18, 2024, 7 AMEDT",1.1,1.14,+3.24
ABT,"Apr 17, 2024, 7 AMEDT",0.95,0.98,+2.63
ABT,"Jan 24, 2024, 7 AMEST",1.19,1.19,+0.1
ABT,"Oct 18, 2023, 7 AMEDT",1.1,1.14,+3.85
ABT,"Jul 20, 2023, 7 AMEDT",1.05,1.08,+2.89
ABT,"Apr 19, 2023, 7 AMEDT",0.99,1.03,+4.27
ABT,"Jan 25, 2023, 7 AMEST",0.92,1.03,+12.23
ABT,"Oct 19, 2022, 7 AMEDT",0.94,1.15,+21.81
ABT,"Jul 20, 2022, 7 AMEDT",1.13,1.43,+26.85
ABT,"Apr 20, 2022, 7 AMEDT",1.47,1.73,+18.08
ABT,"Jan 26, 2022, 7 AMEST",1.21,1.32,+9.45
ABT,"Oct 20, 2021, 7 AMEDT",0.95,1.4,+48.12
ABT,"Jul 22, 2021, 7 AMEDT",1.02,1.17,+14.97
ABT,"Apr 20, 2021, 7 AMEDT",1.27,1.32,+3.62
ABT,"Jan 27, 2021, 7 AMEST",1.35,1.45,+7.2
ABT,"Oct 21, 2020, 7 AMEDT",0.91,0.98,+7.95
ABT,"Jul 16, 2020, 7 AMEDT",0.42,0.57,+34.56
ABT,"Apr 16, 2020, 7 AMEDT",0.58,0.65,+11.67
ABT,"Jan 22, 2020, 7 AMEST",0.95,0.95,+0.42
ABT,"Oct 16, 2019, 7 AMEDT",0.84,0.84,-0.17
ABT,"Jul 17, 2019, 7 AMEDT",0.8,0.82,+2.22
ABT,"Apr 17, 2019, 7 AMEDT",0.61,0.63,+2.82
ABT,"Jan 23, 2019, 7 AMEST",0.81,0.81,+0.02
ABT,"Oct 17, 2018, 7 AMEDT",0.75,0.75,+0.57
ABT,"Jul 18, 2018, 7 AMEDT",0.71,0.73,+2.86
ABT,"Apr 18, 2018, 7 AMEDT",0.58,0.59,+1.7
ABT,"Jan 24, 2018, 7 AMEST",0.73,0.74,+1.07
ABT,"Oct 18, 2017, 7 AMEDT",0.65,0.66,+1.14
ABT,"Jul 20, 2017, 7 AMEDT",0.61,0.62,+2.48
ABT,"Apr 19, 2017, 7 AMEDT",0.43,0.48,+11.63
ABT,"Jan 25, 2017, 7 AMEST",0.65,0.65,+0.66
ABT,"Oct 19, 2016, 7 AMEDT",0.58,0.59,+1.49
ABT,"Jul 20, 2016, 7 AMEDT",0.53,0.55,+3.19
ABT,"Apr 20, 2016, 7 AMEDT",0.39,0.41,+4.63
ABT,"Jan 28, 2016, 7 AMEST",0.61,0.62,+1.67
ABT,"Oct 21, 2015, 7 AMEDT",0.53,0.54,+1.13
ABT,"Jul 22, 2015, 7 AMEDT",0.5,0.52,+3.37
ABT,"Apr 22, 2015, 7 AMEDT",0.42,0.47,+12.52
ABT,"Jan 29, 2015, 7 AMEST",0.68,0.71,+3.96
ABT,"Oct 22, 2014, 7 AMEDT",0.59,0.62,+4.66
ABT,"Jul 16, 2014, 12 AMEDT",0.51,0.54,+6.68
ABT,"Apr 16, 2014, 12 AMEDT",0.36,0.41,+15.07
ABT,"Jan 22, 2014, 12 AMEST",0.58,0.58,-0.34
ABT,"Oct 16, 2013, 12 AMEDT",0.51,0.55,+7.18
ABT,"Jul 17, 2013, 12 AMEDT",0.44,0.46,+4.22
ABT,"Apr 17, 2013, 12 AMEDT",0.41,0.42,+2
ABT,"Jan 23, 2013, 12 AMEST",1.5,1.51,+0.94
ABT,"Oct 17, 2012, 12 AMEDT",1.28,1.3,+1.38
ABT,"Jul 18, 2012, 12 AMEDT",1.22,1.23,+1.08
ABT,"Apr 18, 2012, 12 AMEDT",1,1.03,+3.23
ABT,"Jan 25, 2012, 12 AMEST",1.44,1.45,+0.97
ABT,"Oct 19, 2011, 12 AMEDT",1.17,1.18,+0.85
ABT,"Jul 20, 2011, 12 AMEDT",1.11,1.12,+0.85
ABT,"Apr 20, 2011, 12 AMEDT",0.9,0.91,+0.74
ABT,"Jan 26, 2011, 12 AMEST",1.29,1.3,+0.78
ABT,"Oct 20, 2010, 12 AMEDT",1.04,1.05,+0.79
ABT,"Jul 21, 2010, 12 AMEDT",1,1.01,+1.32
ABT,"Apr 21, 2010, 12 AMEDT",0.8,0.81,+1.01
ABT,"Jan 27, 2010, 12 AMEST",1.17,1.18,+0.74
ABT,"Oct 14, 2009, 12 AMEDT",0.9,0.92,+2.63
ABT,"Jul 15, 2009, 12 AMEDT",0.89,0.89,+0.38
ABT,"Apr 15, 2009, 12 AMEDT",0.7,0.73,+3.67
ABT,"Jan 21, 2009, 12 AMEST",1.06,1.06,-0.09
ABT,"Oct 15, 2008, 12 AMEDT",0.77,0.79,+2.03
ABT,"Jul 16, 2008, 12 AMEDT",0.79,0.84,+6.85
ABT,"Apr 16, 2008, 12 AMEDT",0.62,0.63,+1.36
ABT,"Jan 23, 2008, 12 AMEST",0.92,0.93,+1.26
ABT,"Oct 17, 2007, 12 AMEDT",0.66,0.67,+1.28
ABT,"Jul 18, 2007, 12 AMEDT",0.68,0.69,+2.07
ABT,"Apr 18, 2007, 12 AMEDT",0.52,0.55,+4.93
ABT,"Jan 24, 2007, 12 AMEST",0.74,0.75,+0.92
ABT,"Oct 18, 2006, 12 AMEDT",0.58,0.58,-0.22
ABT,"Jul 19, 2006, 12 AMEDT",0.57,0.62,+8.64
ABT,"Apr 19, 2006, 12 AMEDT",0.57,0.57,-0.27
ABT,"Jan 25, 2006, 12 AMEST",0.76,0.76,+0.3
ABT,"Oct 19, 2005, 12 AMEDT",0.58,0.58,+0.62
ABT,"Jul 13, 2005, 12 AMEDT",0.57,0.58,+1.5
ABT,"Apr 12, 2005, 12 AMEDT",0.58,0.58,-
ABT,"Jan 18, 2005, 12 AMEST",0.67,0.67,+0.32
ABT,"Oct 14, 2004, 12 AMEDT",0.53,0.53,+0.58
ABT,"Jul 09, 2004, 12 AMEDT",0.54,0.54,-0.23
ABT,"Apr 08, 2004, 12 AMEDT",0.56,0.57,+1.09
ABT,"Jan 16, 2004, 12 AMEST",0.65,0.65,+0.19
ABT,"Oct 09, 2003, 12 AMEDT",0.53,0.53,-0.33
ABT,"Jul 10, 2003, 12 AMEDT",0.52,0.52,+0.11
ABT,"Apr 09, 2003, 12 AMEDT",0.51,0.51,+0.37
ABT,"Jan 16, 2003, 12 AMEST",0.56,0.55,-1.39
ABT,"Oct 09, 2002, 12 AMEDT",0.48,0.48,-0.12
ABT,"Jul 11, 2002, 12 AMEDT",0.49,0.49,-0.95
ABT,"Apr 09, 2002, 12 AMEDT",0.54,0.54,-0.1
ABT,"Jan 16, 2002, 12 AMEST",0.52,0.52,+0.97
ABT,"Oct 10, 2001, 12 AMEDT",0.44,0.44,-0.11
ABT,"Jul 12, 2001, 12 AMEDT",0.45,0.45,+0.62
ABT,"Apr 12, 2001, 12 AMEDT",0.47,0.47,-0.92
ABT,"Jan 16, 2001, 12 AMEST",0.48,0.48,+0.7
ACN,"Sep 24, 2025, 8 AMEDT",-,-,-
ACN,"Jun 18, 2025, 8 AMEDT",-,-,-
ACN,"Mar 19, 2025, 8 AMEDT",-,-,-
ACN,"Dec 19, 2024, 8 AMEST",3.42,-,-
ACN,"Sep 26, 2024, 6 AMEDT",2.78,2.79,+0.32
ACN,"Jun 20, 2024, 6 AMEDT",3.15,3.13,-0.65
ACN,"Mar 21, 2024, 6 AMEDT",2.66,2.77,+4.02
ACN,"Dec 19, 2023, 6 AMEST",3.14,3.27,+4.01
ACN,"Sep 28, 2023, 6 AMEDT",2.66,2.71,+2
ACN,"Jun 22, 2023, 6 AMEDT",3.04,3.19,+5
ACN,"Mar 23, 2023, 6 AMEDT",2.5,2.69,+7.69
ACN,"Dec 16, 2022, 6 AMEST",2.91,3.08,+5.77
ACN,"Sep 22, 2022, 6 AMEDT",2.57,2.6,+1.14
ACN,"Jun 23, 2022, 7 AMEDT",2.85,2.94,+3.18
ACN,"Mar 17, 2022, 6 AMEDT",2.37,2.54,+7.15
ACN,"Dec 16, 2021, 6 AMEST",2.63,2.78,+5.8
ACN,"Sep 23, 2021, 6 AMEDT",2.19,2.2,+0.45
ACN,"Jun 24, 2021, 6 AMEDT",2.23,2.4,+7.48
ACN,"Mar 18, 2021, 6 AMEDT",1.9,2.03,+6.97
ACN,"Dec 17, 2020, 6 AMEST",2.05,2.32,+12.96
ACN,"Sep 24, 2020, 6 AMEDT",1.73,1.7,-1.89
ACN,"Jun 25, 2020, 6 AMEDT",1.85,1.9,+2.92
ACN,"Mar 19, 2020, 6 AMEDT",1.72,1.91,+10.91
ACN,"Dec 19, 2019, 6 AMEST",2,2.09,+4.75
ACN,"Sep 26, 2019, 6 AMEDT",1.71,1.74,+1.53
ACN,"Jun 27, 2019, 6 AMEDT",1.89,1.93,+2.02
ACN,"Mar 28, 2019, 6 AMEDT",1.57,1.73,+10.38
ACN,"Dec 20, 2018, 6 AMEST",1.86,1.96,+5.47
ACN,"Sep 27, 2018, 6 AMEDT",1.56,1.58,+1.58
ACN,"Jun 28, 2018, 6 AMEDT",1.72,1.79,+4.04
ACN,"Mar 22, 2018, 6 AMEDT",1.49,1.58,+6.21
ACN,"Dec 21, 2017, 6 AMEST",1.67,1.79,+7.45
ACN,"Sep 28, 2017, 6 AMEDT",1.47,1.48,+1.02
ACN,"Jun 22, 2017, 6 AMEDT",1.52,1.52,+0.02
ACN,"Mar 23, 2017, 6 AMEDT",1.3,1.33,+2.38
ACN,"Dec 21, 2016, 6 AMEST",1.49,1.58,+5.86
ACN,"Sep 29, 2016, 6 AMEDT",1.3,1.31,+0.82
ACN,"Jun 23, 2016, 6 AMEDT",1.41,1.41,+0.18
ACN,"Mar 24, 2016, 6 AMEDT",1.18,1.34,+13.2
ACN,"Dec 17, 2015, 6 AMEST",1.32,1.35,+2.42
ACN,"Sep 24, 2015, 6 AMEDT",1.12,1.15,+2.82
ACN,"Jun 25, 2015, 7 AMEDT",1.23,1.3,+5.75
ACN,"Mar 26, 2015, 7 AMEDT",1.07,1.08,+0.55
ACN,"Dec 18, 2014, 7 AMEST",1.2,1.29,+7.75
ACN,"Sep 24, 2014, 7 AMEDT",1.1,1.08,-1.95
ACN,"Jun 26, 2014, 12 AMEDT",1.21,1.26,+4.39
ACN,"Mar 27, 2014, 12 AMEDT",1.04,1.03,-0.59
ACN,"Dec 19, 2013, 12 AMEST",1.09,1.13,+3.63
ACN,"Sep 26, 2013, 12 AMEDT",1.01,1.01,+0.39
ACN,"Jun 27, 2013, 12 AMEDT",1.13,1.14,+0.56
ACN,"Mar 28, 2013, 12 AMEDT",0.97,1,+2.99
ACN,"Dec 19, 2012, 12 AMEST",1.04,1.06,+1.46
ACN,"Sep 27, 2012, 12 AMEDT",0.88,0.88,+0.26
ACN,"Jun 28, 2012, 12 AMEDT",0.99,1.03,+3.66
ACN,"Mar 22, 2012, 12 AMEDT",0.86,0.97,+12.85
ACN,"Dec 15, 2011, 12 AMEST",0.94,0.96,+2.06
ACN,"Sep 27, 2011, 12 AMEDT",0.88,0.91,+2.86
ACN,"Jun 23, 2011, 12 AMEDT",0.9,0.93,+3.72
ACN,"Mar 24, 2011, 12 AMEDT",0.71,0.75,+4.97
ACN,"Dec 16, 2010, 12 AMEST",0.75,0.81,+7.7
ACN,"Sep 30, 2010, 12 AMEDT",0.63,0.66,+4.1
ACN,"Jun 24, 2010, 12 AMEDT",0.69,0.73,+6.16
ACN,"Mar 25, 2010, 12 AMEDT",0.61,0.6,-2.17
ACN,"Dec 17, 2009, 12 AMEST",0.65,0.67,+2.8
ACN,"Oct 01, 2009, 12 AMEDT",0.63,0.63,+0.43
ACN,"Jun 25, 2009, 12 AMEDT",0.64,0.68,+5.52
ACN,"Mar 26, 2009, 12 AMEDT",0.62,0.63,+2.41
ACN,"Dec 18, 2008, 12 AMEST",0.68,0.74,+9.07
ACN,"Sep 25, 2008, 12 AMEDT",0.66,0.67,+0.84
ACN,"Jun 26, 2008, 12 AMEDT",0.69,0.74,+6.67
ACN,"Mar 27, 2008, 12 AMEDT",0.56,0.64,+13.96
ACN,"Dec 19, 2007, 12 AMEST",0.56,0.6,+7.89
ACN,"Sep 27, 2007, 12 AMEDT",0.48,0.5,+4.63
ACN,"Jun 28, 2007, 12 AMEDT",0.55,0.54,-1.02
ACN,"Mar 27, 2007, 12 AMEDT",0.42,0.47,+11.64
ACN,"Dec 20, 2006, 12 AMEST",0.42,0.46,+10.44
ACN,"Sep 28, 2006, 12 AMEDT",0.38,0.39,+2.65
ACN,"Jun 29, 2006, 12 AMEDT",0.46,0.5,+9.42
ACN,"Mar 28, 2006, 12 AMEST",0.35,0.37,+6.41
ACN,"Jan 05, 2006, 12 AMEST",0.34,0.36,+5.45
ACN,"Oct 06, 2005, 12 AMEDT",0.36,0.38,+5.56
ACN,"Jul 07, 2005, 12 AMEDT",0.43,0.44,+2.8
ACN,"Apr 07, 2005, 12 AMEDT",0.32,0.32,-0.35
ACN,"Jan 06, 2005, 12 AMEST",0.31,0.32,+4.35
ACN,"Oct 13, 2004, 12 AMEDT",0.28,0.3,+5.77
ACN,"Jul 07, 2004, 12 AMEDT",0.37,0.37,-
ACN,"Mar 30, 2004, 12 AMEST",0.25,0.29,+15.74
ACN,"Jan 13, 2004, 12 AMEST",0.28,0.27,-2.66
ACN,"Oct 09, 2003, 12 AMEDT",0.25,0.25,+1.43
ACN,"Jul 15, 2003, 12 AMEDT",0.25,0.28,+12.24
ACN,"Apr 14, 2003, 12 AMEDT",0.24,0.25,+4.9
ACN,"Jan 09, 2003, 12 AMEST",0.26,0.27,+2.13
ACN,"Oct 10, 2002, 12 AMEDT",0.16,0.16,-
ACN,"Jul 12, 2002, 12 AMEDT",0.26,0.27,+3
ACN,"Apr 11, 2002, 12 AMEDT",0.22,0.23,+3.14
ACN,"Jan 09, 2002, 12 AMEST",0.24,0.25,+3.86
ACN,"Oct 11, 2001, 12 AMEDT",0.11,0.12,+12.5
ADBE,"Sep 10, 2025, 6 AMEDT",-,-,-
ADBE,"Jun 11, 2025, 6 AMEDT",-,-,-
ADBE,"Mar 12, 2025, 6 AMEDT",-,-,-
ADBE,"Dec 11, 2024, 4 PMEST",4.66,-,-
ADBE,"Sep 12, 2024, 4 PMEDT",4.53,4.65,+2.68
ADBE,"Jun 13, 2024, 4 PMEDT",4.39,4.48,+2.06
ADBE,"Mar 14, 2024, 4 PMEDT",4.38,4.48,+2.3
ADBE,"Dec 13, 2023, 4 PMEST",4.14,4.27,+3.21
ADBE,"Sep 14, 2023, 4 PMEDT",3.98,4.09,+2.79
ADBE,"Jun 15, 2023, 4 PMEDT",3.79,3.91,+3.25
ADBE,"Mar 15, 2023, 4 PMEDT",3.68,3.8,+3.25
ADBE,"Dec 15, 2022, 4 PMEST",3.5,3.6,+2.77
ADBE,"Sep 15, 2022, 8 AMEDT",3.33,3.4,+1.98
